COUNTRY,ConstructionClassDescription,ConstructionSchemeID,ConstructionClassCode
AT,Light Metal Frame with Unreinforced Masonry Infill,RMS,4B2
AT,Steel Tiled Roof,RMS,4C1
AT,Steel Flat Roof,RMS,4C2
AT,MANUFACTURED/MOBILE HOME,RMS,5
AT,Manufactured/Mobile Home without Tie-Downs,RMS,5A
AT,Manufactured/Mobile Home with Tie-Downs,RMS,5B
AT,Conventional Bridges (< 500 ft. spans) w/ Multiple Simple Spans,RMS,6
AT,Conventional Bridges (< 500 ft. spans) w/ Monolithic Spans,RMS,7
AT,Major Bridges (> 500 ft. spans),RMS,8
AT,Underground Pipelines,RMS,9
AU,Unknown,ATC,0
AU,Wood Frame,ATC,1
AU,Moment Steel Frame (Perimeter),ATC,10
AU,Moment Steel Frame (Distributed),ATC,11
AU,Ductile RC Frame (Distributed),ATC,12
AU,Non-Ductile RC Frame (Distributed),ATC,13
AU,Precast Concrete (Non Tilt-Up),ATC,14
AU,Long Span,ATC,15
AU,Tilt-Up,ATC,16
AU,Mobile Home,ATC,17
AU,Conventional Bridges (< 500 ft. spans) w/ Multiple Simple Spans,ATC,19
AU,Light Metal,ATC,2
AU,Conventional Bridges (< 500 ft. spans) w/ Monolithic Spans,ATC,20
AU,Major Bridges (> 500 ft. spans),ATC,21
AU,Concrete Dams,ATC,24
AU,Earthfill and Rockfill Dams,ATC,25
AU,Alluvium Tunnels,ATC,26
AU,Rock Tunnels,ATC,27
AU,Cut & Cover Tunnels,ATC,28
AU,Unreinforced Masonry Wall,ATC,3
AU,Railroads (Track & Bed),ATC,35
AU,Highways,ATC,36
AU,Runways,ATC,37
AU,URM Wall with Frame,ATC,4
AU,RC Shear Wall with Frame,ATC,5
AU,"Trains, Trucks, Airplanes",ATC,56
AU,RC Shear Wall without Frame,ATC,6
AU,RM Shear Wall,ATC,7
AU,RM Shear Wall with Frame,ATC,8
AU,Braced Steel Frame,ATC,9
AU,UNKNOWN,RMS,0
AU,WOOD,RMS,1
AU,Concrete Dams,RMS,11
AU,Earthfill and Rockfill Dams,RMS,12
AU,Alluvium Tunnels,RMS,13
AU,Rock Tunnels,RMS,14
AU,Cut & Cover Tunnels,RMS,15
AU,Light Wood Frame,RMS,1A
AU,Light Wood Stud Walls,RMS,1A1
AU,Light Wood Stud Walls with Brick Masonry Veneer,RMS,1A3
AU,Heavy Timber,RMS,1B
AU,Heavy Timber Frame,RMS,1B1
AU,Heavy Timber Frame with Unreinforced Masonry Infill,RMS,1B2
AU,MASONRY,RMS,2
AU,Railroad (Track and Bed),RMS,22
AU,Highways,RMS,23
AU,Runways,RMS,24
AU,Unreinforced Masonry,RMS,2B
AU,Unreinforced Cut Stone Masonry,RMS,2B1
AU,Unreinforced Solid Brick Masonry,RMS,2B2
AU,Unreinforced Brick Cavity Wall,RMS,2B4
AU,Structural Masonry,RMS,2C
AU,Reinforced Masonry,RMS,2C1
AU,REINFORCED CONCRETE,RMS,3
AU,Cast-in-place Reinforced Concrete with Concrete Roof Deck,RMS,3A
AU,Reinforced Concrete Moment Resisting Frame,RMS,3A1
AU,RCMRF with Shear Walls,RMS,3A2
AU,RCMRF with Unreinforced Masonry Infill,RMS,3A3
AU,Reinforced Concrete Shear Wall,RMS,3A4
AU,Waffle or Flat Slab,RMS,3A5
AU,Precast Reinforced Concrete with Concrete Roof Deck,RMS,3B
AU,Precast Moment Resisting Frame,RMS,3B1
AU,Precast MRF with Shear Walls,RMS,3B2
AU,Tilt-Up,RMS,3B4
AU,Precast Panel Bearing Wall,RMS,3B5
AU,Lift Slab,RMS,3B6
AU,STEEL,RMS,4
AU,"Trains, Trucks, Airplanes",RMS,43
AU,Automobiles - Personal,RMS,44
AU,Automobiles - Dealers,RMS,45
AU,Steel Frame with Concrete Roof Deck,RMS,4A
AU,Steel Moment Resisting Frame,RMS,4A1
AU,Steel MRF with Shear Walls,RMS,4A2
AU,Concentrically Braced Steel Frame,RMS,4A4
AU,Eccentrically Braced Steel Frame,RMS,4A5
AU,Light Metal,RMS,4B
AU,Light Metal Frame,RMS,4B1
AU,Light Metal Frame with Unreinforced Masonry Infill,RMS,4B2
AU,Light Metal Stud Walls with Brick Masonry Veneer,RMS,4B3
AU,MANUFACTURED/MOBILE HOME,RMS,5
AU,Golf Course,RMS,53
AU,"Boats, Inside a Building (Marina)",RMS,54
AU,"Boats, Moored, Less than 26 ft, Motor",RMS,55
AU,"Boats, Moored, Less than 26 ft, Sail",RMS,56
AU,"Boats, Moored, 26-60 ft, Motor",RMS,57
AU,"Boats, Moored, 26-60 ft, Sail",RMS,58
AU,"Boats, Moored, Greater than 60 ft, Motor",RMS,59
